Data,Receita_Esperada_Ingenua,Receita_Projetada_IA,Acumulado_Ingenuo,Acumulado_IA,Furo_de_Caixa_Acumulado
2013-10-20,229.56,140.57,14926.9,14318.87,608.0299999999988
2013-10-21,441.79,490.02,15368.69,14808.890000000001,559.7999999999993
2013-10-22,303.52000000000004,115.69,15672.210000000001,14924.580000000002,747.6299999999992
2013-10-23,97.19999999999999,150.05,15769.410000000002,15074.630000000001,694.7800000000007
2013-10-24,251.07,288.03999999999996,16020.480000000001,15362.670000000002,657.8099999999995
2013-10-25,398.77,332.45,16419.25,15695.120000000003,724.1299999999974
2013-10-26,96.4,140.34,16515.65,15835.460000000003,680.1899999999987
2013-10-27,53.05,160.24,16568.7,15995.700000000003,572.9999999999982
2013-10-28,194.32999999999998,258.73,16763.030000000002,16254.430000000002,508.60000000000036
2013-10-29,167.22,133.59,16930.250000000004,16388.02,542.2300000000032
2013-10-30,337.34,210.06,17267.590000000004,16598.08,669.510000000002
2013-10-31,25.72,78.77,17293.310000000005,16676.850000000002,616.4600000000028
2013-11-01,205.91,280.85,17499.220000000005,16957.7,541.5200000000041
2013-11-02,436.06,198.75,17935.280000000006,17156.45,778.8300000000054
2013-11-03,305.71999999999997,245.99,18241.000000000007,17402.440000000002,838.560000000005
2013-11-04,191.17000000000002,157.74,18432.170000000006,17560.180000000004,871.9900000000016
2013-11-05,79.38,36.26,18511.550000000007,17596.440000000002,915.1100000000042
2013-11-06,113.12,315.78,18624.670000000006,17912.22,712.4500000000044
2013-11-07,69.18,69.18,18693.850000000006,17981.4,712.4500000000044
2013-11-08,161.97,185.79000000000002,18855.820000000007,18167.190000000002,688.6300000000047
2013-11-09,41.92,310.44,18897.740000000005,18477.63,420.1100000000042
2013-11-10,138.13,181.25,19035.870000000006,18658.88,376.99000000000524
2013-11-11,66.23,130.97,19102.100000000006,18789.850000000002,312.25000000000364
2013-11-12,206.81,198.29,19308.910000000007,18988.140000000003,320.7700000000041
2013-11-13,103.03,103.03,19411.940000000006,19091.170000000002,320.7700000000041
2013-11-14,122.0,175.8,19533.940000000006,19266.97,266.9700000000048
2013-11-15,90.61,222.25,19624.550000000007,19489.22,135.33000000000538
2013-11-16,236.32,214.26,19860.870000000006,19703.48,157.3900000000067
2013-11-17,262.49,131.24,20123.360000000008,19834.72,288.6400000000067
2013-11-18,157.57999999999998,99.8,20280.94000000001,19934.52,346.42000000000917
2013-11-19,406.77,473.85,20687.71000000001,20408.37,279.34000000001106
2013-11-20,311.59000000000003,275.31,20999.30000000001,20683.68,315.6200000000099
2013-11-21,202.55,292.86,21201.85000000001,20976.54,225.31000000000859
2013-11-22,183.53,61.19,21385.38000000001,21037.73,347.65000000000873
2013-11-23,296.89,134.47,21682.270000000008,21172.2,510.070000000007
2013-11-24,163.8,243.41,21846.070000000007,21415.61,430.4600000000064
2013-11-25,82.34,82.34,21928.410000000007,21497.95,430.4600000000064
2013-11-26,108.38,108.38,22036.790000000008,21606.33,430.4600000000064
2013-11-27,121.33000000000001,185.3,22158.12000000001,21791.63,366.4900000000089
2013-11-28,167.85,167.85,22325.97000000001,21959.48,366.4900000000089
2013-11-29,402.82,167.07,22728.790000000008,22126.55,602.2400000000089
2013-11-30,447.2,509.24,23175.99000000001,22635.79,540.200000000008
2013-12-01,0.0,93.24,23175.99000000001,22729.030000000002,446.9600000000064
2013-12-02,202.12,267.34000000000003,23378.110000000008,22996.370000000003,381.74000000000524
2013-12-03,116.81,328.5,23494.92000000001,23324.870000000003,170.05000000000655
2013-12-04,270.69,120.31,23765.610000000008,23445.180000000004,320.43000000000393
2013-12-05,178.07,178.07,23943.680000000008,23623.250000000004,320.43000000000393
2013-12-06,367.31,235.51,24310.99000000001,23858.760000000002,452.23000000000684
2013-12-07,119.76,0.0,24430.750000000007,23858.760000000002,571.9900000000052
2013-12-08,271.38,271.38,24702.13000000001,24130.140000000003,571.9900000000052
2013-12-09,332.61,502.65999999999997,25034.74000000001,24632.800000000003,401.94000000000597
2013-12-10,135.22,74.62,25169.96000000001,24707.420000000002,462.54000000000815
2013-12-11,293.91,239.48000000000002,25463.87000000001,24946.9,516.9700000000084
2013-12-12,32.95,80.28,25496.82000000001,25027.18,469.64000000001033
2013-12-13,388.24,233.78,25885.060000000012,25260.96,624.1000000000131
2013-12-14,375.5,398.73,26260.560000000012,25659.69,600.8700000000135
2013-12-15,350.37,318.99,26610.93000000001,25978.68,632.2500000000109
2013-12-16,249.89999999999998,197.92000000000002,26860.830000000013,26176.6,684.2300000000141
2013-12-17,0.0,66.92,26860.830000000013,26243.519999999997,617.3100000000159
2013-12-18,355.55,246.29000000000002,27216.380000000012,26489.809999999998,726.5700000000143
2013-12-19,64.12,64.12,27280.50000000001,26553.929999999997,726.5700000000143
2013-12-20,82.41,82.41,27362.91000000001,26636.339999999997,726.5700000000143
2013-12-21,304.65,591.32,27667.560000000012,27227.659999999996,439.900000000016
2013-12-22,89.6,89.6,27757.16000000001,27317.259999999995,439.900000000016
2013-12-23,202.20999999999998,202.20999999999998,27959.37000000001,27519.469999999994,439.900000000016
2013-12-24,133.1,213.44,28092.47000000001,27732.909999999993,359.56000000001586
2013-12-25,362.23,137.93,28454.700000000008,27870.839999999993,583.8600000000151
2013-12-26,269.4,348.6,28724.10000000001,28219.43999999999,504.66000000001804
2013-12-27,146.35,146.35,28870.450000000008,28365.78999999999,504.66000000001804
2013-12-28,186.39999999999998,216.54,29056.85000000001,28582.32999999999,474.5200000000186
2013-12-29,202.85999999999999,272.46,29259.71000000001,28854.78999999999,404.9200000000201
2013-12-30,280.65,122.19,29540.36000000001,28976.97999999999,563.3800000000228
2013-12-31,253.91,228.22,29794.27000000001,29205.19999999999,589.0700000000215
2014-01-01,182.13,234.51,29976.400000000012,29439.70999999999,536.6900000000242
2014-01-02,0.0,54.56,29976.400000000012,29494.26999999999,482.13000000002285
2014-01-03,0.0,162.47000000000003,29976.400000000012,29656.73999999999,319.6600000000217
2014-01-04,0.0,56.21,29976.400000000012,29712.94999999999,263.45000000002256
2014-01-05,0.0,54.16,29976.400000000012,29767.10999999999,209.2900000000227
2014-01-06,0.0,107.04,29976.400000000012,29874.14999999999,102.25000000002183
2014-01-07,0.0,49.71,29976.400000000012,29923.85999999999,52.5400000000227
2014-01-11,0.0,52.54,29976.400000000012,29976.39999999999,2.1827872842550278e-11
